Query Term,Normalized Query Term,Tweet ID
assholЕ,asshole,1213979361289875457
assholЕ,asshole,1133712066114723840
assholЕ,asshole,1089456811068059648
assholЕ,asshole,1013925201371979776
assholЕ,asshole,1007677141423742978
assholЕ,asshole,991029930753437696
assholЕ,asshole,759456409876631553
assholЕ,asshole,759389449662898176
assholЕ,asshole,743782374757011456
assholЕ,asshole,743752344790196225
assholЕ,asshole,743387462446288896
assholЕ,asshole,743380021885149184
assholЕ,asshole,743195248357163008
assholЕ,asshole,741987676216266752
assholЕ,asshole,741950549503954944
assholЕ,asshole,741738539864477696
assholЕ,asshole,741731874456883200
assholЕ,asshole,741696866887323648
assholЕ,asshole,716567982806278144
assholЕ,asshole,710159541896388608
assholЕ,asshole,710141573221261314
assholЕ,asshole,708572165264818176
assholЕ,asshole,693910348651479040
assholЕ,asshole,693131943064551424
assholЕ,asshole,688689840288870400
assholЕ,asshole,684665725471076352
assholЕ,asshole,682977221972209665
assholЕ,asshole,673236978842910721
assholЕ,asshole,669970726351470592
assholЕ,asshole,669566466858053632
assholЕ,asshole,669566306270711810
assholЕ,asshole,669557653480280064
assholЕ,asshole,668861867624964098
assholЕ,asshole,665580740944490498
assholЕ,asshole,665457450611580930
assholЕ,asshole,663409899943104513
assholЕ,asshole,663365783679053825
assholЕ,asshole,663348228730015744
assholЕ,asshole,332757366447697920
assholЕ,asshole,300998720332378112
assholЕ,asshole,259362988203581440
assholЕ,asshole,259167754354057216
assholЕ,asshole,259003091536465920
assholЕ,asshole,258951588612296706
assholЕ,asshole,258651125794893825
assholЕ,asshole,258624903543132160
assholЕ,asshole,258593622260346880
assholЕ,asshole,258540410085986305
assholЕ,asshole,258445419552600065
assholЕ,asshole,258415147650007040
assholЕ,asshole,258365467822010368
assholЕ,asshole,258357144972300288
assholЕ,asshole,258294658323582976
assholЕ,asshole,258270354617819136
assholЕ,asshole,258100241272807424
assholЕ,asshole,257879892723646464
assholЕ,asshole,257729875463503872
assholЕ,asshole,257677302970859520
assholЕ,asshole,257567972745433088
assholЕ,asshole,253285162606006272
assholЕ,asshole,253122266219569153
assholЕ,asshole,252625841106874368
assholЕ,asshole,252553363936378880
assholЕ,asshole,252547240126734336
assholЕ,asshole,252518048878190594
assholЕ,asshole,252510548065918976
assholЕ,asshole,252424707951964160
assholЕ,asshole,252417104517689345
assholЕ,asshole,252416066939129857
assholЕ,asshole,252407574459195392
assholЕ,asshole,252384175733223424
assholЕ,asshole,252376277204467713
assholЕ,asshole,252352476509003776
assholЕ,asshole,252221098958139392
assholЕ,asshole,251949790919802882
assholЕ,asshole,251782780487348224
assholЕ,asshole,251722452739166208
assholЕ,asshole,251713527901999105
assholЕ,asshole,251647018731204608
assholЕ,asshole,251621747034566656
assholЕ,asshole,251620615017074689
assholЕ,asshole,251620509186420737
assholЕ,asshole,251614854069231616
assholЕ,asshole,251613003718463488
assholЕ,asshole,251555806535876608
assholЕ,asshole,251414921336725504
assholЕ,asshole,251402113580691456
assholЕ,asshole,251305607020298241
assholЕ,asshole,251042140514312192
assholЕ,asshole,251035616953905152
assholЕ,asshole,251010008593096704
assholЕ,asshole,250997273801154560
assholЕ,asshole,250996828659650561
assholЕ,asshole,245002429958086656
assholЕ,asshole,244916733364813824
assholЕ,asshole,240783881161306112
assholЕ,asshole,240768321182638080
assholЕ,asshole,240757782914150400
assholЕ,asshole,240755305967915008
assholЕ,asshole,240752140845449216
assholЕ,asshole,240144573941297153
assholЕ,asshole,240131323862343681
assholЕ,asshole,240113833778245632
assholЕ,asshole,239947369309941760
assholЕ,asshole,239931969629204480
assholЕ,asshole,239867439276494848
assholЕ,asshole,239836136040718336
assholЕ,asshole,239826918755676160
assholЕ,asshole,239298004836835328
assholЕ,asshole,239279041251790848
assholЕ,asshole,239149008302510080
assholЕ,asshole,239039990846345216
assholЕ,asshole,238729005145157633
assholЕ,asshole,238120320773541888
assholЕ,asshole,237979570421248000
assholЕ,asshole,104994100230631424
assholЕ,asshole,103063511449604100
Вastard,bastard,1584808043975307264
Вastard,bastard,1565805443863257088
Вastard,bastard,1085585562122285056
Вastard,bastard,433325492381704192
Вastard,bastard,423455500353957888
Ьastard,bastard,1599782125523193856
Ьastard,bastard,1457151633201246210
bАstard,bastard,1592909545860648961
bАstard,bastard,1591973149062664193
bАstard,bastard,1591128171365048320
bАstard,bastard,1590842446849921024
bАstard,bastard,1588618549727301637
bАstard,bastard,1587356284227096576
bАstard,bastard,1585245538261164033
bАstard,bastard,1580325519043665926
bАstard,bastard,1577892426135572481
bАstard,bastard,1573788934085165058
bАstard,bastard,1563026849055182850
bАstard,bastard,1558189337191251968
bАstard,bastard,1543683784922521602
bАstard,bastard,1543637990584483841
bАstard,bastard,1527106005963640833
bАstard,bastard,1523571443577274368
bАstard,bastard,1513667658092367875
bАstard,bastard,1513582814528212995
bАstard,bastard,1513358599254208515
bАstard,bastard,1513221485867020305
bАstard,bastard,1508980936020484098
bАstard,bastard,1492582730781048842
bАstard,bastard,1491230071415521284
bАstard,bastard,1490791721143263239
bАstard,bastard,1481904848601763841
bАstard,bastard,1464484634138484738
bАstard,bastard,1429638060308844545
bАstard,bastard,1417965981855584270
bАstard,bastard,1414624067806760962
bАstard,bastard,1404151538017316872
bАstard,bastard,1387111411839606784
bАstard,bastard,1374001532618866691
bАstard,bastard,1333002822502199298
bАstard,bastard,1324256401359663105
bАstard,bastard,1317675655274921985
bАstard,bastard,1304110787196334081
bАstard,bastard,1285398031551143941
bАstard,bastard,1268559796787187712
bАstard,bastard,1264116692839542784
bАstard,bastard,1215871586110263296
bАstard,bastard,1197561371266867200
bАstard,bastard,1193531129485307906
bАstard,bastard,1180930134397861888
bАstard,bastard,1039220154293473286
bАstard,bastard,895712798696538112
bАstard,bastard,877875447660412928
bАstard,bastard,866339587911806981
bАstard,bastard,781065425660542976
bАstard,bastard,762439366165737472
bАstard,bastard,761507849516253184
bАstard,bastard,750733058626682880
bАstard,bastard,743782388518502400
bАstard,bastard,743693341267623936
bАstard,bastard,743350830003191809
bАstard,bastard,743197580545384448
bАstard,bastard,741972603615780867
bАstard,bastard,741960314753810432
bАstard,bastard,735397655254315010
bАstard,bastard,700756232353804288
bАstard,bastard,694169781419769857
bАstard,bastard,543499191969153025
bАstard,bastard,259371015237431296
bАstard,bastard,259243206959575041
bАstard,bastard,259241896025657344
bАstard,bastard,259233657057849344
bАstard,bastard,259233467957657600
bАstard,bastard,259163630203961344
bАstard,bastard,259108270457892864
bАstard,bastard,258987350384848896
bАstard,bastard,258711947342643200
bАstard,bastard,258706074960535552
bАstard,bastard,258666277562888194
bАstard,bastard,258537882581614592
bАstard,bastard,258439236280254465
bАstard,bastard,258434568477085696
bАstard,bastard,258359868786896896
bАstard,bastard,258329912040124418
bАstard,bastard,258180138712309761
bАstard,bastard,257972535952568321
bАstard,bastard,257930892452958211
bАstard,bastard,257866385454153728
bАstard,bastard,257750226192982016
bАstard,bastard,257688588618190848
bАstard,bastard,257664548776058880
bАstard,bastard,257633721597964289
bАstard,bastard,253264083518885888
bАstard,bastard,253182784766619648
bАstard,bastard,252540042600390656
bАstard,bastard,252490334666387457
bАstard,bastard,252413480760668160
bАstard,bastard,252382619474485248
bАstard,bastard,252338976852160512
bАstard,bastard,252318908265152512
bАstard,bastard,252314707212525568
bАstard,bastard,252305682894827521
bАstard,bastard,252284481296285696
bАstard,bastard,252270038755713024
bАstard,bastard,252239289776209920
bАstard,bastard,252202335865016322
bАstard,bastard,252189458877775872
bАstard,bastard,252166869199491072
bАstard,bastard,252155023067316224
bАstard,bastard,252104394617786369
bАstard,bastard,252066722255872000
bАstard,bastard,252024239148912640
bАstard,bastard,251984825081274368
bАstard,bastard,251969315111329793
bАstard,bastard,251784531143712768
bАstard,bastard,251715653168410624
bАstard,bastard,251696794881384449
bАstard,bastard,251610152376098816
bАstard,bastard,251593785111363584
bАstard,bastard,251588819428704256
bАstard,bastard,251578715706884096
bАstard,bastard,251573728125800448
